Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1198,2016-11-04,corseco,Technology,Data Analytics Platform,delhi,"ameera shah, vivek bhargava",seed funding,1.3
1199,2016-11-04,vimmune,Consumer Internet,Online Lending Platform,bangalore,undisclosed investor,seed funding,
1200,2016-11-04,the gourmet jar,E-commerce,Online Pharmacy,noida,chandigarh angels network,seed funding,
1201,2016-11-05,medzin,E-commerce,Online Pharmacy,delhi,a m sikander,seed funding,0.39
1202,2016-11-05,bizongo,E-commerce,Online Pharmacy,mumbai,"idg ventures, accel partners",private equity,25.98
1203,2016-11-07,rivigo,Technology,Data Analytics Platform,gurgaon,warburg pincus,private equity,649.5
1204,2016-11-07,justride,Consumer Internet,Online Lending Platform,mumbai,"justin kan, qasar younis, paul bucche, susa ventures, kima ventures, a venture, scm holdings",private equity,25.98
1205,2016-11-09,iim jobs,Consumer Internet,Online Lending Platform,delhi,india quotient,private equity,17.32
1206,2016-11-09,square yards,Consumer Internet,Online Lending Platform,gurgaon,adag reliance private equity,private equity,103.92
1207,2016-11-10,golflan,Consumer Internet,Online Lending Platform,delhi,"yournest angel fund, ison",private equity,8.66
1208,2016-11-10,yottaasys,Technology,Data Analytics Platform,bangalore,gleevoaz ventures,private equity,
1209,2016-11-10,tone tag,Technology,Data Analytics Platform,bangalore,"arun seth, t.v. mohandas pai, anand chandrasekaran, deepak ghaisas",private equity,
1210,2016-11-11,life in control,Consumer Internet,Online Lending Platform,gurgaon,roundglass partners,private equity,
1211,2016-11-14,active.ai,Technology,Data Analytics Platform,out of india,"kalaari capital, idg ventures india",private equity,25.98
1212,2016-11-14,elasticrun,Technology,Data Analytics Platform,pune,"kalaari capital, norwest venture partners",private equity,17.32
1213,2016-11-15,nobroker,Consumer Internet,Online Lending Platform,bangalore,vijay shekhar sharma,seed funding,
1214,2016-11-15,zefo,E-commerce,Online Pharmacy,bangalore,"sequoia india, beenext, helion ventures",private equity,51.96
1215,2016-11-15,playsimple,Technology,Data Analytics Platform,bangalore,"saif partners, idg ventures india",private equity,34.64
1216,2016-11-16,stasis labs,Technology,Data Analytics Platform,bangalore,"rtp-hc, wonder ventures, techstars ventures & others",private equity,43.3
1217,2016-11-17,scienaptic,Technology,Data Analytics Platform,bangalore,pramod bhasin,seed funding,
1218,2016-11-17,koovs,E-commerce,Online Pharmacy,delhi,times of india group & e investors,private equity,116.91
1219,2016-11-17,lawrato,Consumer Internet,Online Lending Platform,delhi,indian angel network,seed funding,
1220,2016-11-17,trip tap toe,Consumer Internet,Online Lending Platform,gurgaon,r.s sharma,seed funding,
1221,2016-11-17,pictor imaging,Consumer Internet,Online Lending Platform,mumbai,quarizon,seed funding,1.27
1222,2016-11-18,gramcover,Finance,Online Lending Platform,delhi,omnivore capital,seed funding,8.66
1223,2016-11-18,aermed,E-commerce,Online Pharmacy,mumbai,hitesh windlass,seed funding,
1224,2016-11-18,workindia,Consumer Internet,Online Lending Platform,mumbai,asuka holdings,seed funding,
1225,2016-11-21,bats on delivery,Consumer Internet,Online Lending Platform,gurgaon,devdeep singh,seed funding,0.78
1226,2016-11-21,numberz,Technology,Data Analytics Platform,gurgaon,"kae capital, khosla impact",seed funding,5.63
1227,2016-11-22,housing,Consumer Internet,Online Lending Platform,mumbai,softbank group,private equity,43.3
1228,2016-11-22,awesummly,Consumer Internet,Online Lending Platform,bangalore,"vivek bhargava, ameera shah",seed funding,1.27
1229,2016-11-22,volt,Consumer Internet,Online Lending Platform,mumbai,yms mobitech,seed funding,
1230,2016-11-22,vymo,Technology,Data Analytics Platform,bangalore,sequoia india,private equity,43.3
1231,2016-11-22,shubhloans,Technology,Data Analytics Platform,bangalore,"sanjai vohra, v. bunty bohra",seed funding,
1232,2016-11-22,noddapp,Consumer Internet,Online Lending Platform,mumbai,undisclosed multiple investors,seed funding,1.27
1233,2016-11-23,knowlarity,Consumer Internet,Online Lending Platform,bangalore,"delta partners, sequoia india, mayfield, blacksoil, trifecta capital",private equity,173.2
1234,2016-11-23,infisecure,Technology,Data Analytics Platform,mumbai,"idg ventures, a ventures",seed funding,5.2
1235,2016-11-23,udaan,E-commerce,Online Pharmacy,bangalore,"lightspeed venture partners india, lightspeed us",private equity,86.6
1236,2016-11-24,froyofit,Consumer Internet,Online Lending Platform,indore,dr. pooja gandhi,seed funding,
1237,2016-11-24,betterplace,Consumer Internet,Online Lending Platform,bangalore,venture highway,seed funding,
1238,2016-11-24,sharechat,Consumer Internet,Online Lending Platform,mumbai,"lightspeed india partners, saif partners, india quotient, venture highway",private equity,34.64
1239,2016-11-24,uclean,Consumer Internet,Online Lending Platform,gurgaon,franchise india,private equity,
1240,2016-11-24,servify,Consumer Internet,Online Lending Platform,mumbai,"blume ventures, beenext, barkawi holdings gmbh, tm service technology holdings gmbh, sreevathsa prabhakar",private equity,
1241,2016-11-25,hubilo,Consumer Internet,Online Lending Platform,ahmedabad,"girish mathrubootham, vc karthic, miten mehta, umasankar nistala, rakesh patel, akash bhavsar, jeevanandhan rajagopal, vikas chadha & others",seed funding,
1242,2016-11-25,funongo,Consumer Internet,Online Lending Platform,mumbai,reliance entertainment,private equity,
