Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1909,2016-02-02,maaxmarket,Consumer Internet,Online Lending Platform,undisclosed,multiple investors through ten minute million competition,seed funding,0.19
1910,2016-02-02,gamooz,Technology,Data Analytics Platform,gurgaon,multiple investors through ten minute million competition,seed funding,0.19
1911,2016-02-02,soundsurround,Technology,Data Analytics Platform,mumbai,multiple investors through ten minute million competition,seed funding,0.19
1912,2016-02-03,mazkara,Consumer Internet,Online Lending Platform,out of india,dunamis ventures pte ltd.,seed funding,8.66
1913,2016-02-03,roadgods,E-commerce,Online Pharmacy,delhi,green house ventures (ghv),seed funding,0.87
1914,2016-02-03,pindropmusic,Consumer Internet,Online Lending Platform,noida,green house ventures (ghv),seed funding,0.87
1915,2016-02-03,woodpie,Consumer Internet,Online Lending Platform,bangalore,ingram content group,seed funding,0.26
1916,2016-02-04,perfumery,E-commerce,Online Pharmacy,delhi,oranda global & others,seed funding,0.26
1917,2016-02-05,magic crate,Education,Aptitude Development Program,bangalore,"tv mohandas pai, aarin capital",seed funding,
1918,2016-02-05,zendrive,Technology,Data Analytics Platform,out of india,"sherpa capital, nyca partners and thomvest ventures",private equity,116.91
1919,2016-02-05,smartcooky,E-commerce,Online Pharmacy,delhi,"vandana luthra,",private equity,
1920,2016-02-05,turtlemint,Consumer Internet,Online Lending Platform,mumbai,ne venture partners,private equity,
1921,2016-02-05,bhive,Real Estate,Branded Workspaces Aggregator,bangalore,"raghunandan g, venturesity, arihant patni",seed funding,
1922,2016-02-05,gingercrush,E-commerce,Online Pharmacy,vadodara,"saha fund, tv mohandas pai, zia mody, mumbai angels, ananda kallugadde, rakesh desai, rakesh malhotra",private equity,8.66
1923,2016-02-05,american vision,Consumer Internet,Online Lending Platform,pune,undisclosed investors,seed funding,0.7
1924,2016-02-05,dawailelo,Consumer Internet,Online Lending Platform,varanasi,undisclosed investors,seed funding,0.45
1925,2016-02-06,heads up for tails,E-commerce,Online Pharmacy,delhi,undisclosed investors,seed funding,8.66
1926,2016-02-06,livenutrifit,Healthcare,A Doctor-Patient Engagement Platform,delhi,"mohit goel, vinod jain & others",seed funding,
1927,2016-02-08,moglix,E-commerce,Online Pharmacy,delhi,ratan tata,private equity,
1928,2016-02-08,istyleyou,Consumer Internet,Online Lending Platform,gurgaon,green house ventures (ghv),seed funding,0.87
1929,2016-02-08,adurcup,Consumer Internet,Online Lending Platform,delhi,green house ventures (ghv),seed funding,0.87
1930,2016-02-08,weddingz,Consumer Internet,Online Lending Platform,mumbai,si sense ventures,private equity,
1931,2016-02-08,urban dhobi,Consumer Internet,Online Lending Platform,jaipur,"vinod bansal, sanjeev singhal",seed funding,
1932,2016-02-08,gray routes,Consumer Internet,Online Lending Platform,mumbai,"mahesh parasuraman, rahul gautam & others",seed funding,
1933,2016-02-08,xpressbees,E-commerce,Online Pharmacy,pune,"saif partners, idg ventures india, vertex ventures, valiant capital",private equity,108.25
1934,2016-02-08,invictus oncology,Healthcare,A Doctor-Patient Engagement Platform,delhi,ratan tata,private equity,
1935,2016-02-08,hansel,Technology,Data Analytics Platform,bangalore,"endiya partners, mekin maheshwari, rajesh sawhney",seed funding,
1936,2016-02-09,inc42,Consumer Internet,Online Lending Platform,delhi,"india ventures, aarin capital & others",seed funding,
1937,2016-02-09,goqii,Technology,Data Analytics Platform,mumbai,edelweiss financial services,private equity,
1938,2016-02-10,capzest,Consumer Internet,Online Lending Platform,mumbai,lion ventures,seed funding,1.73
1939,2016-02-10,glamstudios,Consumer Internet,Online Lending Platform,noida,aqeel ahmed,seed funding,
1940,2016-02-10,affimity,Consumer Internet,Online Lending Platform,bangalore,undisclosed investors,seed funding,10.39
1941,2016-02-10,anandakanda,Technology,Data Analytics Platform,pune,undisclosed investors,seed funding,1.3
1942,2016-02-10,joulestowatts,Technology,Data Analytics Platform,bangalore,manipal global education services,seed funding,
1943,2016-02-10,shopkirana,Consumer Internet,Online Lending Platform,indore,"atul jain, anil gelra, jaikumar nair",seed funding,
1944,2016-02-10,stylofie,Consumer Internet,Online Lending Platform,gurgaon,jaideep mehta,seed funding,
1945,2016-02-10,oybob,E-commerce,Online Pharmacy,gurgaon,sachin dalal,seed funding,
1946,2016-02-12,actonmagic,Technology,Data Analytics Platform,bangalore,jayabalan subramanian,seed funding,1.08
1947,2016-02-12,bonhomia,Food & Beverage,Qsr Chain,delhi,"alok rawat, grey orange robotics",seed funding,8.66
1948,2016-02-12,igrenenergi,Technology,Data Analytics Platform,mumbai,sunil mehta,seed funding,8.66
1949,2016-02-12,rksv,Consumer Internet,Online Lending Platform,mumbai,kalaari capital,private equity,34.64
1950,2016-02-15,aasaanjobs,Consumer Internet,Online Lending Platform,mumbai,"aspada advisors, idg ventures, inventus capital",private equity,43.3
1951,2016-02-15,snapdeal,E-commerce,Online Pharmacy,delhi,ontario teachers pension plan & others,private equity,1732.0
1952,2016-02-15,jugnoo,Consumer Internet,Online Lending Platform,chandigarh,saumya tandon,private equity,
1953,2016-02-15,snapbizz,Technology,Data Analytics Platform,bangalore,ratan tata,private equity,
1954,2016-02-15,goyano,Consumer Internet,Online Lending Platform,gurgaon,mukesh kumar gupta,seed funding,0.43
1955,2016-02-15,rentsher,Consumer Internet,Online Lending Platform,bangalore,"vaibhav doshi, abhay singhal, vibhu garg, joby babu, abhishek acharya, manish shah",seed funding,2.6
1956,2016-02-15,buddy,Finance,Online Lending Platform,bangalore,"blume ventures, tracxn labs",seed funding,4.33
1957,2016-02-15,legistify,Consumer Internet,Online Lending Platform,delhi,ranjit singh,seed funding,
1958,2016-02-16,tablehero,Consumer Internet,Online Lending Platform,bangalore,"growx ventures, kunal shah, sandeep tandon, haresh chawla, powai lake ventures, globevestor",seed funding,8.66
1959,2016-02-16,betterplace,Technology,Data Analytics Platform,bangalore,unitus seed fund,seed funding,8.4
1960,2016-02-16,salebhai,E-commerce,Online Pharmacy,ahmedabad,"virendra shekhawat, deepak chokhani, yogesh patel & others",seed funding,
1961,2016-02-16,icustommadeit,E-commerce,Online Pharmacy,pune,"brand capital, siddhivinayak skyscrapers, dinesh r. challa",private equity,34.64
1962,2016-02-16,tring,Consumer Internet,Online Lending Platform,pune,vishwadeep bajaj & others,seed funding,
1963,2016-02-16,medinfi,Consumer Internet,Online Lending Platform,bangalore,"rajnish sinha, prijit debnath, kanchan ghoshal",seed funding,
1964,2016-02-17,timemytask,Consumer Internet,Online Lending Platform,mumbai,lead angels,seed funding,
1965,2016-02-17,gamezop,Technology,Data Analytics Platform,delhi,"kwan entertainment & marketing solutions, powerhouse ventures & others",seed funding,3.03
1966,2016-02-17,notary mama,Consumer Internet,Online Lending Platform,bangalore,"dr nandish domlur, amit sandill",seed funding,
1967,2016-02-17,the viral fever,Consumer Internet,Online Lending Platform,mumbai,tiger global,private equity,86.6
1968,2016-02-17,avanti learning,Education,Aptitude Development Program,delhi,michael & susan dell foundation,private equity,43.3
1969,2016-02-17,bollant industries,Technology,Data Analytics Platform,hyderabad,ratan tata,private equity,
1970,2016-02-18,getvee,Consumer Internet,Online Lending Platform,delhi,"lightspeed venture partners, k ganesh",private equity,
1971,2016-02-18,healthkumbh,Consumer Internet,Online Lending Platform,ahmedabad,undisclosed investor,seed funding,0.63
1972,2016-02-18,unlaze,Consumer Internet,Online Lending Platform,gurgaon,"sujal shah, dino morea",seed funding,
1973,2016-02-18,tracxn,Technology,Data Analytics Platform,bangalore,"nandan nilekani, mohandas pai, neeraj arora, anand rajaraman, girish mathrubootham, aneesh reddy & teruhide sato",private equity,
1974,2016-02-18,careongo,E-commerce,Online Pharmacy,delhi,farooq oomerbhoy & other angel investors,seed funding,2.6
1975,2016-02-18,ark robot,Technology,Data Analytics Platform,bangalore,qualcomm (through qprize contest),seed funding,3.03
1976,2016-02-19,jaypore,E-commerce,Online Pharmacy,delhi,aavishkaar,private equity,43.3
1977,2016-02-19,finance buddha,Consumer Internet,Online Lending Platform,bangalore,chennai angels,seed funding,
1978,2016-02-19,almaconnect,Consumer Internet,Online Lending Platform,delhi,"mohandas pai, varun aggarwal",seed funding,
1979,2016-02-19,advantage club,Consumer Internet,Online Lending Platform,gurgaon,purvi ventures & others,seed funding,3.46
1980,2016-02-19,localramu,Consumer Internet,Online Lending Platform,bangalore,3 undisclosed investors,seed funding,
1981,2016-02-22,baby berry,Consumer Internet,Online Lending Platform,bangalore,nitin bagmane & other undisclosed investors,seed funding,8.66
1982,2016-02-22,magicpin,Consumer Internet,Online Lending Platform,delhi,lightspeed india,private equity,25.98
1983,2016-02-22,first eat,Consumer Internet,Online Lending Platform,delhi,undisclosed investor,seed funding,0.87
1984,2016-02-22,sigtuple,Technology,Data Analytics Platform,bangalore,"sachin bansal, binny bansal, accel partners & others",seed funding,
1985,2016-02-22,taskbob,Consumer Internet,Online Lending Platform,mumbai,"ivycap ventures, orios venture partners, mayfield india",private equity,38.97
1986,2016-02-22,styledotme,Consumer Internet,Online Lending Platform,delhi,indian angel network,seed funding,0.32
1987,2016-02-22,newslaundry,Consumer Internet,Online Lending Platform,delhi,"omidyar network, vikram lal, abhijit bhandari, mahesh murthy, shashank bhagat",private equity,
1988,2016-02-23,cuponation,Consumer Internet,Online Lending Platform,gurgaon,"rocket internet ag, holtzbrink ventures, new enterprise associates (nea), e.ventures, ru-net, deutsche telekom strategic investments (dtsi), silicon valley bank",private equity,95.26
1989,2016-02-23,aarav uav,Technology,Data Analytics Platform,kanpur,"startup ventures, the phoenix fund and others",seed funding,
1990,2016-02-24,sayfix,Consumer Internet,Online Lending Platform,bangalore,yajnanarayana kammaje,seed funding,1.39
1991,2016-02-24,loanzen,Consumer Internet,Online Lending Platform,bangalore,tracxn syndicate,seed funding,
1992,2016-02-24,nobroker,Consumer Internet,Online Lending Platform,bangalore,"beenext, digital garage, beenos, qualgro, mamoru taniya, saif partners",private equity,86.6
1993,2016-02-24,appilyever,Consumer Internet,Online Lending Platform,hyderabad,"varun aggarwal, suresh venkat, raj y",seed funding,3.46
1994,2016-02-24,pocketin,Consumer Internet,Online Lending Platform,noida,swastika company ltd,seed funding,1.3
1995,2016-02-24,feetapart,Consumer Internet,Online Lending Platform,bangalore,vishal bali & others,seed funding,
1996,2016-02-25,ofbusiness,E-commerce,Online Pharmacy,gurgaon,matrix partners india,private equity,43.3
1997,2016-02-25,carveniche,Consumer Internet,Online Lending Platform,bangalore,"calcutta angels, lead angels & others",seed funding,
1998,2016-02-25,juspay,Consumer Internet,Online Lending Platform,bangalore,"accel partners, ashish hemrajani, parikshit dar, rajesh balpande",private equity,50.23
1999,2016-02-25,funcart,E-commerce,Online Pharmacy,delhi,undisclosed hnis,seed funding,0.61
2000,2016-02-26,freedom smart labs,Technology,Data Analytics Platform,delhi,kapil goel,seed funding,1.26
2001,2016-02-26,edubridge,Consumer Internet,Online Lending Platform,mumbai,"insitor impact asia fund, acumen fund",private equity,21.65
2002,2016-02-29,nestaway,Consumer Internet,Online Lending Platform,bangalore,ratan tata,private equity,
2003,2016-02-29,hopscotch,E-commerce,Online Pharmacy,mumbai,eduardo saverin,private equity,112.58
2004,2016-02-29,pinclick,Consumer Internet,Online Lending Platform,bangalore,undisclosed investors,private equity,
2005,2016-01-01,smartcooky,E-commerce,Online Pharmacy,delhi,"rajan anandan, pramod bhasin, siddharth pai, tv mohandas pai, manvinder singh banga",seed funding,
2006,2016-01-01,helpi,Consumer Internet,Online Lending Platform,mumbai,undisclosed investors,seed funding,
2007,2016-01-04,dogspot,E-commerce,Online Pharmacy,gurgaon,ratan tata,seed funding,
2008,2016-01-04,career360,Education,Aptitude Development Program,delhi,merittrac,private equity,
2009,2016-01-04,b9 beverages,Food & Beverage,Qsr Chain,delhi,"sequoia capital, kunal bahl, rohit bansal, deepinder goyal, ashish dhawan, mayank singhal",private equity,51.96
2010,2016-01-05,wimwi foods,Food & Beverage,Qsr Chain,ahmedabad,centre for innovation incubation and entrepreneurship (ciie),seed funding,
2011,2016-01-05,mychild app,Education,Aptitude Development Program,bhopal,"samir bangara, anisha mittal, amit gupta, pallav nadhani, lalit mangal, arihant patni, dr. ritesh malik, deobrat singh, saurab paruthi, singapore angel network.",seed funding,0.87
2012,2016-01-05,instaproc,E-commerce,Online Pharmacy,noida,dinesh agarwal,seed funding,
2013,2016-01-05,360ride,Consumer Internet,Online Lending Platform,bangalore,undisclosed,seed funding,1.3
2014,2016-01-05,alefnmobitech,Consumer Internet,Online Lending Platform,mumbai,tata capital innovation fund,private equity,43.3
2015,2016-01-06,tracxn,Bfsi,Startup Funding Deal Discovery & Execution Platform,bangalore,ratan tata,seed funding,
2016,2016-01-06,qdesq,Real Estate,Branded Workspaces Aggregator,gurgaon,"dheeraj jain, jagdish kumar, bharat gupta, ankush saigal, praveen saini",seed funding,
2017,2016-01-06,sensara,Technology,Data Analytics Platform,bangalore,"lalitesh katragadda, ganayantrika systems",seed funding,6.49
2018,2016-01-06,zebpay,Consumer Internet,Online Lending Platform,ahmedabad,"arjun handa, amit jindal, nagendra chaudhary",private equity,8.66
2019,2016-01-06,planmynmedicaltrip,Healthcare,A Doctor-Patient Engagement Platform,pune,"bhanu vikram parsotam, rohan desai and paras patel",seed funding,1.3
2020,2016-01-06,mycity4kids,Education,Aptitude Development Program,gurgaon,"sidbi venture capital limited, yournest angel fund",private equity,25.98
2021,2016-01-06,justdakhila,Education,Aptitude Development Program,delhi,ankur gupta,seed funding,6.49
2022,2016-01-07,pitstop,Consumer Internet,Online Lending Platform,bangalore,myntra/livspace founders,seed funding,
2023,2016-01-07,bikxie,Consumer Internet,Online Lending Platform,gurgaon,undisclosed investors,seed funding,
2024,2016-01-07,infurnia,Consumer Internet,Online Lending Platform,bangalore,idein ventures,seed funding,1.39
2025,2016-01-07,myly,Education,Aptitude Development Program,jaipur,newbie promoter pvt ltd,seed funding,0.87
2026,2016-01-07,makemytrip,Consumer Internet,Online Lending Platform,gurgaon,ctrip.com international ltd,private equity,1558.8
2027,2016-01-08,melorra,E-commerce,Online Pharmacy,bangalore,lightbox ventures,private equity,43.3
2028,2016-01-08,confirmtkt,Consumer Internet,Online Lending Platform,bangalore,"krishna jhujhunwala, dr. apoorv ranjan sharma, anirudh damani, anand ladsariya, sanjay mehta & others",seed funding,2.16
